industry_code,industry_name,model,n_obs,topcode,converged,S2,S3,S4,S5,s5_s2,s5_s2_ci_lo,s5_s2_ci_hi,boot_B,boot_valid,boot_seed,poisson_pearson_chi2_df,negbin_alpha_mom
561,百貨店・総合スーパー,binary_logit,1740,,True,168694.862186625,269468.471023904,392778.505213729,582334.633333219,1.3807999266486,1.15441131655175,1.67781159450549,500,500,42,,
561,百貨店・総合スーパー,ordered_logit,1740,5,True,174128.508261926,308135.951391914,480388.540039972,745232.977894833,1.71191491923619,1.45412259111041,2.07857166845019,200,200,42,,
561,百貨店・総合スーパー,poisson,1740,,True,195776.519803526,303606.011914714,409312.954178074,513432.029220866,1.04901656181472,1.01137604627271,1.09159789185064,200,200,42,0.777483083321794,
561,百貨店・総合スーパー,negbin,1740,,True,196184.94692412,302464.244477847,406157.296883441,507943.477165956,1.03564210227081,0.996069978051088,1.07378452134398,200,200,42,,0.0292931538829918
581,各種食料品小売業,binary_logit,1740,,True,2102.20907266984,5163.67059686037,8908.58516930845,13260.3710196663,2.52313077553707,2.10639967275599,3.11391406943926,500,500,42,,
581,各種食料品小売業,ordered_logit,1740,5,True,2459.0393041118,5096.53615040388,8306.74934240904,12530.6018985801,2.03829225138898,1.80227535579026,2.4156186301,200,200,42,,
581,各種食料品小売業,poisson,1740,,True,4067.11862416316,7308.87877975226,10893.8916096108,14746.0835524222,1.45027326862946,1.39569733782635,1.54316792368753,200,200,42,2.66364927118347,
581,各種食料品小売業,negbin,1740,,True,3279.01484828259,6212.47779317493,9599.52705060933,13354.4615913034,1.62908217366541,1.55402539315469,1.70410145330104,200,200,42,,0.0721653158371645
584,鮮魚小売業,binary_logit,1740,,True,12966.0935616468,24960.6993694594,41236.6835778722,58842.7184225341,1.81527977236223,1.58751012392788,2.09623470671083,500,500,42,,
584,鮮魚小売業,ordered_logit,1740,5,True,12692.6138466303,24440.4404355834,41378.671639126,60783.4276991208,1.91555272802245,1.68072875624382,2.229254918851,200,200,42,,
584,鮮魚小売業,poisson,1740,,True,10040.6166400299,18748.7395101806,28684.0066263531,39603.42731331,1.57772888790193,1.48616332828392,1.74171995650133,200,200,42,5.1220657571249,
584,鮮魚小売業,negbin,1740,,True,11234.708601822,21661.0965410697,33880.4864061429,47574.0076291854,1.69382257485415,1.59603939730412,1.81888630912407,200,200,42,,0.445816280866775
603,医薬品・化粧品小売業,binary_logit,1740,,True,3117.2965493287,4752.4755770541,6275.1694027801,7499.17853898237,0.962266941282477,0.883175166912335,1.05964494862489,500,500,42,,
603,医薬品・化粧品小売業,ordered_logit,1740,5,True,3073.64990648744,4537.91255588741,6066.7131325843,7373.97906619399,0.959638122823291,0.894136912564028,1.04342568587257,200,200,42,,
603,医薬品・化粧品小売業,poisson,1740,,True,2325.35942112818,3707.88458940506,5094.49237511503,6482.93290934608,1.11517090226006,1.09082599229441,1.14125056903877,200,200,42,4.25251245492221,
603,医薬品・化粧品小売業,negbin,1740,,True,2618.14006041393,4115.56265358453,5600.0278028931,7074.03544623907,1.08077265280004,1.06766273634871,1.09458803987762,200,200,42,,0.038595313457776
605,燃料小売業,binary_logit,1740,,True,666.705098705348,1804.94626101369,2854.03704951278,4305.42122866409,2.5831038262792,1.92170358774482,3.65015807113559,500,500,42,,
605,燃料小売業,ordered_logit,1740,5,True,746.124295440752,1704.07491085303,2801.52264006005,4167.638631668,2.23428651613929,1.82564050922749,2.74804407945292,200,200,42,,
605,燃料小売業,poisson,1740,,True,801.19511733418,1625.52505080888,2631.5008207062,3792.40438925819,1.89337368998287,1.78352136178621,2.00705891984415,200,200,42,5.70730164882088,
605,燃料小売業,negbin,1740,,True,883.978282033413,1791.89319868825,2899.52363533064,4177.49148015342,1.89031407900382,1.82535697534286,1.96697932942744,200,200,42,,0.193083802046173
606,書籍・文房具小売業,binary_logit,1740,,True,3593.01081586751,6671.36230070308,10966.5858745108,15284.4753129146,1.70157854748614,1.510624547436,1.96694753280058,500,500,42,,
606,書籍・文房具小売業,ordered_logit,1740,5,True,3779.10561516795,6441.3580349203,10211.6328167341,14610.6946186309,1.54647116079412,1.41366509061748,1.70607343195848,200,200,42,,
