event_time,coef,se_cluster_pref,t,ci_lo,ci_hi
-10.0,0.3845355577937362,0.15370554658858449,2.501767609096126,0.08327822225606724,0.6857928933314053
-9.0,0.10750884922308603,0.16445463699272314,0.6537295097847751,-0.21481631637325982,0.42983401481943184
-8.0,0.0642021502230874,0.20947882175367813,0.3064851601016803,-0.34636879593800735,0.47477309638418214
-7.0,0.06926214354543254,0.10839630558785461,0.6389714406760474,-0.14319071146396029,0.2817149985548254
-6.0,-0.16545399528861152,0.1754355660064854,-0.9431040641012045,-0.5093013862687223,0.17839339569149928
-5.0,0.062230366807268324,0.1531517268193073,0.4063314733675152,-0.2379415019286911,0.36240223554322776
-4.0,-0.13446709369147278,0.22971980093345504,-0.5853526476388731,-0.5847096300567554,0.31577544267380975
-3.0,-0.08336947440522487,0.24969154071839997,-0.3338898633304052,-0.5727559014576052,0.4060169526471555
-2.0,-0.10018117227565164,0.11447389306210595,-0.8751442760953362,-0.32454587984746885,0.12418353529616559
-1.0,0.0,,,,
0.0,-0.0205239316040825,0.15154737191855328,-0.13542914894698907,-0.31755132251614365,0.27650345930797865
1.0,-0.06697369470048754,0.1193088659611294,-0.5613471736652618,-0.30081477502061793,0.16686738561964287
2.0,-0.061650678241687226,0.18389507203188357,-0.3352492133720597,-0.422078396358578,0.29877703987520354
3.0,-0.11806383056325066,0.1872095544370773,-0.6306506680081486,-0.4849878148217128,0.24886015369521153
4.0,-0.1549532796215096,0.1809453599138246,-0.8563539827454334,-0.5095996682222435,0.19969310897922424
5.0,-0.0746580035149297,0.20833406656615477,-0.3583571556273667,-0.48298527073736325,0.3336692637075039
6.0,-0.2592336151592545,0.16440948865692928,-1.5767558020948127,-0.5814702916434824,0.06300306132497341
7.0,-0.3530378040489404,0.14210627967594672,-2.484322331525343,-0.6315609941907723,-0.07451461390710856
8.0,-0.09585628197213128,0.24970306534539147,-0.3838810782700726,-0.5852652968783503,0.39355273293408766
9.0,-0.10157058637441949,0.18234289802741044,-0.557030668445069,-0.45895609934480364,0.2558149265959646
10.0,-0.2059508975009376,0.18708564975013411,-1.1008374922181328,-0.5726320330354755,0.16073023803360026
11.0,-0.07810093789969204,0.2843438790736312,-0.2746707196727372,-0.6354047001084215,0.47920282430903743
12.0,-0.17084810735186817,0.2222681698936029,-0.7686575519726964,-0.6064857152529598,0.26478950054922346
