industry_code,industry_name,scenario_2024_exclude_566,scenario_2024_include_all_566,uncertain_analysis_units,uncertain_pct_of_1706,n_units_2021_eq2,n_down_2_to_le1_exclude_566,down_2_to_le1_exclude_566_pct,n_down_2_to_le1_include_all_566,down_2_to_le1_include_all_566_pct,n_units_2021_eq1,n_up_1_to_ge2_exclude_566,up_1_to_ge2_exclude_566_pct,n_up_1_to_ge2_include_all_566,up_1_to_ge2_include_all_566_pct,n_down_ge2_to_le1_exclude_566,n_up_le1_to_ge2_exclude_566,net_change_units_ge2_exclude_566,n_down_ge2_to_le1_include_all_566,n_up_le1_to_ge2_include_all_566,net_change_units_ge2_include_all_566,interval_type,jointly_satisfiable_across_industries
581,各種食料品小売業,581,581+566,63,3.69,193,65,33.68,48,24.87,222,36,16.22,61,27.48,80,41,-39,56,69,13,per_industry_marginal_worst_case,false
584,鮮魚小売業,584,584+566,625,36.64,180,63,35.00,11,6.11,325,46,14.15,234,72.00,76,57,-19,12,467,455,per_industry_marginal_worst_case,false
605,燃料小売業,605,605+566,7,0.41,96,13,13.54,12,12.50,70,2,2.86,7,10.00,14,3,-11,13,8,-5,per_industry_marginal_worst_case,false
606,書籍・文房具小売業,606,606+566,138,8.09,180,49,27.22,23,12.78,223,16,7.17,76,34.08,58,20,-38,26,85,59,per_industry_marginal_worst_case,false
