industry_code,industry_name,tier,publication_role,corporate_coverage_pct_2021_all1741,n_ge2_flip_pct_2021_all1741,n_units_2021_eq0,n_units_2021_eq2,n_down_2_to_le1,down_2_to_le1_pct,n_units_2021_eq1,n_up_1_to_ge2,up_1_to_ge2_pct,n_units_ge2_2021,n_units_ge2_2024,n_down_ge2_to_le1,n_up_le1_to_ge2,net_change_units_ge2,mean_establishment_count_change,n_units_delta_lt0,n_units_delta_eq0,n_units_delta_gt0,transition_analysis_units
79A,葬儀業,1,main,93.7,4.3,398,234,48,20.51,245,31,12.65,1063,1042,53,32,-21,0.153,324,992,390,1706
831,病院,1,main,89.1,11.4,616,201,21,10.45,294,11,3.74,796,783,24,11,-13,-0.111,217,1396,93,1706
78A,普通洗濯業,2,secondary,54.8,18.7,417,156,53,33.97,206,10,4.85,1083,1020,73,10,-63,-1.936,724,849,133,1706
832,一般診療所,2,secondary,54.3,11.2,259,136,19,13.97,181,14,7.73,1266,1258,24,16,-8,0.941,416,848,442,1706
782,理容業,3,corporate_segment_appendix,7.9,61.0,843,142,45,31.69,236,20,8.47,627,587,61,21,-40,-0.322,348,1211,147,1706
783,美容業,3,corporate_segment_appendix,19.8,39.1,556,107,29,27.10,161,17,10.56,989,976,33,20,-13,0.118,444,935,327,1706
823,学習塾,3,corporate_segment_appendix,46.1,29.5,654,100,43,43.00,164,15,9.15,888,850,53,15,-38,0.135,486,910,310,1706
833,歯科診療所,3,corporate_segment_appendix,23.2,37.2,521,172,18,10.47,282,28,9.93,903,912,20,29,9,0.522,214,1094,398,1706
891,自動車整備業,3,corporate_segment_appendix,47.9,18.7,233,169,35,20.71,226,32,14.16,1247,1241,42,36,-6,-0.539,552,778,376,1706
