group,t_1965_69,t_2015_19,share_1965_69,share_2015_19
広島・岡山・京都,629.9,2.2800000000000002,0.56013018424984,0.048284625158831015
長野,47.540000000000006,29.1,0.04227431173081028,0.6162642947903432
岩手,8.48,11.100000000000001,0.007540727039908943,0.23506988564167733
その他,438.6399999999999,4.739999999999988,0.39005477697944074,0.10038119440914843
