release_id,period_code,period,period_end,coverage_scope,seasonal_adjustment,metric_id,metric_label_ja,industry_code,industry_name,raw_value_oku_yen,raw_lag4_value_oku_yen,raw_yoy_delta_oku_yen,raw_yoy_pct,total_yoy_delta_oku_yen,contribution_pct_to_net_change,rank_by_yoy_delta,component_type,taxonomy,contribution_denominator,source_table_number,estat_sid,source_path,source_sha256
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_excluding_software,設備投資（ソフトウェア除く）,155,不動産業、物品賃貸業(集約),20224.27,22855.52,-2631.25,-11.512536140065944,-2342.640000000014,112.31986135300278,11,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,135,電気業,15019.34,12733.45,2285.8899999999994,17.951851226494007,88.77999999999884,2574.780355936055,1,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,142,情報通信業,18295.9,17220.87,1075.0300000000025,6.242599822192485,88.77999999999884,1210.8920928137154,2,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,129,卸売業・小売業(集約),21340.72,20892.74,447.97999999999956,2.1441897999017856,88.77999999999884,504.59562964632283,3,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,106,鉱業、採石業、砂利採取業,525.24,366.62,158.62,43.26550651901151,88.77999999999884,178.6663662987183,4,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,134,運輸業、郵便業(集約),24868.6,24761.78,106.81999999999971,0.431390635083595,88.77999999999884,120.31989186753897,5,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,136,ガス・熱供給・水道業,1516.25,1510.78,5.470000000000027,0.36206462886720914,88.77999999999884,6.161297589547307,6,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,105,農林水産業(集約),486.45,554.6,-68.15000000000003,-12.288135593220339,88.77999999999884,-76.7627844109044,7,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,107,建設業,6692.58,6774.43,-81.85000000000036,-1.2082197321398258,88.77999999999884,-92.19418788015481,8,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,108,製造業,61980.91,62251.69,-270.77999999999884,-0.4349761428163679,88.77999999999884,-305.001126379818,9,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
