spec,n_obs,pre_mean,post_mean
本命: まつたけ 対 くるみ・なめこ・生しいたけ,959,0.20849932343354136,0.2292880987169058
プラシーボ: くるみ 対 なめこ,480,-0.35755436109987315,0.14676286119610352
プラシーボ: くるみ 対 生しいたけ,480,-0.09242270558451535,-0.21751443751184463
プラシーボ: なめこ 対 生しいたけ,480,0.265131655515361,-0.36427729870794895
本命(対照=くるみ のみ),479,0.34510642831886845,0.258550134626979
本命(対照=なめこ のみ),479,0.014591468488713328,0.3938425711120118
本命(対照=生しいたけ のみ),479,0.2658000734930459,0.035471590411721904
