assignment,is_actual,pre_mean,post_mean
宮城:1975|新潟:1981|山形:1982|山梨:1978|長野:1977|秋田:1978,0,-0.10300229310599318,-0.013225458605331662
宮城:1975|新潟:1981|山形:1982|山梨:1978|長野:1978|秋田:1977,0,0.0375657488706567,0.07335191416247776
宮城:1975|新潟:1982|山形:1977|山梨:1978|長野:1978|秋田:1981,0,-0.14722407695271844,-0.025956085484560368
宮城:1975|新潟:1982|山形:1977|山梨:1978|長野:1981|秋田:1978,0,-0.07991903145938521,-0.20345360527728573
宮城:1975|新潟:1982|山形:1977|山梨:1981|長野:1978|秋田:1978,0,-0.14597154938082185,-0.06478379152579539
宮城:1975|新潟:1982|山形:1978|山梨:1977|長野:1978|秋田:1981,0,0.37888887407747174,0.4595414948482135
宮城:1975|新潟:1982|山形:1978|山梨:1977|長野:1981|秋田:1978,0,0.4461939195707952,0.282043975055475
宮城:1975|新潟:1982|山形:1978|山梨:1978|長野:1977|秋田:1981,0,0.2148467948294892,0.3440241641549441
宮城:1975|新潟:1982|山形:1978|山梨:1978|長野:1981|秋田:1977,0,0.4227198822994892,0.2531040171300348
宮城:1975|新潟:1982|山形:1978|山梨:1981|長野:1977|秋田:1978,0,0.21609932240137816,0.30519645811369683
宮城:1975|新潟:1982|山形:1978|山梨:1981|長野:1978|秋田:1977,0,0.3566673643780506,0.39177383088152573
宮城:1975|新潟:1982|山形:1981|山梨:1977|長野:1978|秋田:1978,0,0.17194420532302607,0.20422178956094272
宮城:1975|新潟:1982|山形:1981|山梨:1978|長野:1977|秋田:1978,0,0.007902126075070811,0.08870445886768895
宮城:1975|新潟:1982|山形:1981|山梨:1978|長野:1978|秋田:1977,0,0.14847016805174112,0.17528183163551794
宮城:1977|新潟:1975|山形:1978|山梨:1978|長野:1981|秋田:1982,0,0.010057174670195521,0.2567605136240099
宮城:1977|新潟:1975|山形:1978|山梨:1978|長野:1982|秋田:1981,0,0.10989682502436492,0.34838534640899316
宮城:1977|新潟:1975|山形:1978|山梨:1981|長野:1978|秋田:1982,0,-0.055995343251244716,0.39543032737549844
宮城:1977|新潟:1975|山形:1978|山梨:1981|長野:1982|秋田:1978,0,0.11114935259625701,0.30955764036774636
宮城:1977|新潟:1975|山形:1978|山梨:1982|長野:1978|秋田:1981,0,0.059099854531111724,0.5210630013673595
宮城:1977|新潟:1975|山形:1978|山梨:1982|長野:1981|秋田:1978,0,0.12640490002443536,0.34356548157462447
宮城:1977|新潟:1975|山形:1981|山梨:1978|長野:1978|秋田:1982,0,-0.2641925395775531,0.17893832812949018
宮城:1977|新潟:1975|山形:1981|山梨:1978|長野:1982|秋田:1978,0,-0.09704784373005536,0.09306564112173282
宮城:1977|新潟:1975|山形:1981|山梨:1982|長野:1978|秋田:1978,0,-0.14784481422331555,0.2657432960801008
宮城:1977|新潟:1975|山形:1982|山梨:1978|長野:1978|秋田:1981,0,-0.12670401656655678,0.30846510965073143
宮城:1977|新潟:1975|山形:1982|山梨:1978|長野:1981|秋田:1978,0,-0.059398971073231666,0.13096758985799883
宮城:1977|新潟:1975|山形:1982|山梨:1981|長野:1978|秋田:1978,0,-0.12545148899466582,0.26963740360948363
宮城:1977|新潟:1978|山形:1975|山梨:1978|長野:1981|秋田:1982,0,0.32062662985527185,0.5537042110664961
宮城:1977|新潟:1978|山形:1975|山梨:1978|長野:1982|秋田:1981,0,0.42046628020945714,0.6453290438514909
宮城:1977|新潟:1978|山形:1975|山梨:1981|長野:1978|秋田:1982,0,0.2545741119338462,0.6923740248179946
宮城:1977|新潟:1978|山形:1975|山梨:1981|長野:1982|秋田:1978,0,0.4217188077813356,0.606501337810236
宮城:1977|新潟:1978|山形:1975|山梨:1982|長野:1978|秋田:1981,0,0.36966930971618966,0.8180066988098563
宮城:1977|新潟:1978|山形:1975|山梨:1982|長野:1981|秋田:1978,0,0.43697435520951305,0.640509179017116
宮城:1977|新潟:1978|山形:1978|山梨:1975|長野:1981|秋田:1982,0,0.4028812142806158,0.46962623490956584
宮城:1977|新潟:1978|山形:1978|山梨:1975|長野:1982|秋田:1981,0,0.5027208646347793,0.5612510676945488
宮城:1977|新潟:1978|山形:1978|山梨:1981|長野:1975|秋田:1982,0,0.05912251101327935,0.5089860849391082
宮城:1977|新潟:1978|山形:1978|山梨:1981|長野:1982|秋田:1975,0,0.6126098493212194,0.6374466141291902
宮城:1977|新潟:1978|山形:1978|山梨:1982|長野:1975|秋田:1981,0,0.17421770879563048,0.6346187589309773
宮城:1977|新潟:1978|山形:1978|山梨:1982|長野:1981|秋田:1975,0,0.6278653967494013,0.6714544553360632
宮城:1977|新潟:1978|山形:1981|山梨:1975|長野:1978|秋田:1982,0,0.1286315000328552,0.39180404941504055
宮城:1977|新潟:1978|山形:1981|山梨:1975|長野:1982|秋田:1978,0,0.2957761958803613,0.30593136240728935
宮城:1977|新潟:1978|山形:1981|山梨:1978|長野:1975|秋田:1982,0,-0.14907468531305404,0.29249408569307805
宮城:1977|新潟:1978|山形:1981|山梨:1978|長野:1982|秋田:1975,0,0.4044126529949127,0.42095461488318225
宮城:1977|新潟:1978|山形:1981|山梨:1982|長野:1975|秋田:1978,0,-0.03272695995879057,0.37929905364371935
宮城:1977|新潟:1978|山形:1981|山梨:1982|長野:1978|秋田:1975,0,0.353615682501642,0.5936322698415415
宮城:1977|新潟:1978|山形:1982|山梨:1975|長野:1978|秋田:1981,0,0.2661200230438745,0.5213308309363057
宮城:1977|新潟:1978|山形:1982|山梨:1975|長野:1981|秋田:1978,0,0.3334250685371871,0.3438333111435542
宮城:1977|新潟:1978|山形:1982|山梨:1978|長野:1975|秋田:1981,0,-0.011586162302048505,0.4220208672143333
宮城:1977|新潟:1978|山形:1982|山梨:1978|長野:1981|秋田:1975,0,0.4420615256517334,0.458856563619428
宮城:1977|新潟:1978|山形:1982|山梨:1981|長野:1975|秋田:1978,0,-0.010333634730146498,0.3831931611730969
宮城:1977|新潟:1978|山形:1982|山梨:1981|長野:1978|秋田:1975,0,0.37600900773029994,0.5975263773709242
宮城:1977|新潟:1981|山形:1975|山梨:1978|長野:1978|秋田:1982,0,0.0023065848784768633,0.3349990629894567
宮城:1977|新潟:1981|山形:1975|山梨:1978|長野:1982|秋田:1978,0,0.16945128072598106,0.24912637598171566
宮城:1977|新潟:1981|山形:1975|山梨:1982|長野:1978|秋田:1978,0,0.11865431023271185,0.42180403094006885
