event_time,coef,se_cluster_pref,t,ci_lo,ci_hi
-8.0,-0.21326978064607316,0.4967759784688564,-0.42930775619104006,-1.186932806829677,0.7603932455375307
-7.0,0.19354628483993694,0.4511302870082954,0.4290252514932078,-0.6906528300315399,1.0777453997114137
-6.0,0.04798703428902322,0.36614552711995163,0.13106000410951998,-0.6696450119665156,0.765619080544562
-5.0,0.2918680123718367,0.4638184049250828,0.6292721661594692,-0.6171993566481409,1.2009353813918142
-4.0,0.11345421061159516,0.5610942137850121,0.2022017119839095,-0.9862702403408461,1.2131786615640365
-3.0,0.572837201860669,0.47044569764484134,1.2176478703672347,-0.34921942220503976,1.4948938259263778
-2.0,0.4530723007078016,0.38677200948313256,1.1714195691494589,-0.30498690810732254,1.2111315095229256
-1.0,0.0,,,,
0.0,-0.043148651634253826,0.31756599002475,-0.13587302478735513,-0.6655665547975699,0.5792692515290622
1.0,0.26452779376432917,0.33667451803655873,0.7857077966785853,-0.39534213609970675,0.9243977236283651
2.0,0.30352132035415863,0.31342445614674946,0.9684034363037898,-0.3107793255675239,0.9178219662758411
3.0,-0.05359486919484429,0.3266084273454843,-0.1640951815923353,-0.6937356238392604,0.5865458854495719
4.0,0.047548281972063934,0.2295665001585836,0.20712204062534287,-0.4023937903956685,0.49749035433979644
5.0,0.16374907394392083,0.2631598587115086,0.6222418371315218,-0.3520347713072852,0.6795329191951268
6.0,0.2750710444480397,0.19674730361925138,1.3980930838084658,-0.11054658470106005,0.6606886735971395
7.0,0.5556499317652432,0.3813402960671483,1.4570973419168942,-0.19176331438020866,1.3030631779106951
8.0,0.138538663798162,0.49714235789735495,0.2786700058794147,-0.8358424528699755,1.1129197804662994
9.0,0.3335199545383162,0.4374509473859404,0.7624168070301804,-0.5238681473410531,1.1909080564176855
10.0,0.5367865421308285,0.4415535042174133,1.2156772327788483,-0.3286424233827564,1.4022155076444136
