check_id,taxonomy,scope,parent_major_code,industry_code,capital_size_code,metric_id,measure,expected_oku_yen,actual_oku_yen,difference_oku_yen,tolerance_oku_yen,status
major_grand_24_sales_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,sales,yoy_delta,-13949.94000000006,-13949.939999999968,9.276845958083868e-11,0.01,PASS
major_grand_24_operating_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,operating_profit,current,54046.32,54046.32,0.0,0.01,PASS
major_grand_24_operating_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,operating_profit,previous,46202.57,46202.57,0.0,0.01,PASS
major_grand_24_operating_profit_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,operating_profit,yoy_delta,7843.75,7843.75,0.0,0.01,PASS
major_grand_24_ordinary_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,ordinary_profit,current,59048.11,59048.11,0.0,0.01,PASS
major_grand_24_ordinary_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,ordinary_profit,previous,53105.14,53105.14,0.0,0.01,PASS
major_grand_24_ordinary_profit_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,ordinary_profit,yoy_delta,5942.970000000001,5942.97,-9.094947017729282e-13,0.01,PASS
major_grand_24_capex_including_software_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,capex_including_software,current,35237.91,35237.91,0.0,0.01,PASS
major_grand_24_capex_including_software_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,capex_including_software,previous,37159.82,37159.82,0.0,0.01,PASS
major_grand_24_capex_including_software_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,capex_including_software,yoy_delta,-1921.9099999999962,-1921.9099999999996,-3.410605131648481e-12,0.01,PASS
major_grand_24_capex_excluding_software_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,capex_excluding_software,current,30602.99,30602.99,0.0,0.01,PASS
major_grand_24_capex_excluding_software_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,capex_excluding_software,previous,32611.65,32611.65,0.0,0.01,PASS
major_grand_24_capex_excluding_software_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,24,capex_excluding_software,yoy_delta,-2008.6599999999999,-2008.6600000000005,-6.821210263296962e-13,0.01,PASS
major_grand_25_sales_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,sales,current,1673831.66,1673831.66,0.0,0.01,PASS
major_grand_25_sales_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,sales,previous,1645919.58,1645919.58,0.0,0.01,PASS
major_grand_25_sales_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,sales,yoy_delta,27912.07999999984,27912.079999999973,1.3096723705530167e-10,0.01,PASS
major_grand_25_operating_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,operating_profit,current,126315.82,126315.81999999999,-1.4551915228366852e-11,0.01,PASS
major_grand_25_operating_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,operating_profit,previous,106600.41,106600.41,0.0,0.01,PASS
major_grand_25_operating_profit_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,operating_profit,yoy_delta,19715.410000000003,19715.409999999996,-7.275957614183426e-12,0.01,PASS
major_grand_25_ordinary_profit_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,ordinary_profit,current,173061.13,173061.13,0.0,0.01,PASS
major_grand_25_ordinary_profit_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,ordinary_profit,previous,138830.03,138830.03,0.0,0.01,PASS
major_grand_25_ordinary_profit_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,ordinary_profit,yoy_delta,34231.100000000006,34231.09999999999,-1.4551915228366852e-11,0.01,PASS
major_grand_25_capex_including_software_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,capex_including_software,current,115834.05,115834.05,0.0,0.01,PASS
major_grand_25_capex_including_software_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,capex_including_software,previous,114851.64,114851.64,0.0,0.01,PASS
major_grand_25_capex_including_software_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,capex_including_software,yoy_delta,982.4100000000035,982.4100000000035,0.0,0.01,PASS
major_grand_25_capex_excluding_software_current,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,capex_excluding_software,current,101964.29,101964.29,0.0,0.01,PASS
major_grand_25_capex_excluding_software_previous,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,capex_excluding_software,previous,101542.44,101542.44,0.0,0.01,PASS
major_grand_25_capex_excluding_software_yoy_delta,major,TAXONOMY_TO_ALL_INDUSTRY,,,25,capex_excluding_software,yoy_delta,421.84999999999127,421.850000000001,9.72022462519817e-12,0.01,PASS
leaf_parent_108_26_sales_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,sales,current,1225320.64,1225320.64,0.0,0.01,PASS
leaf_parent_108_26_sales_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,sales,previous,1172657.85,1172657.85,0.0,0.01,PASS
