coverage_scope,source_table_number,release_id,period_code,period,period_end,estat_sid,taxonomy,taxonomy_order,industry_code,industry_name,parent_major_code,parent_major_name,is_mutually_exclusive,capital_size_code,capital_size_name,sales_current_oku_yen,sales_previous_oku_yen,sales_yoy_delta_oku_yen,sales_yoy_pct,sales_yoy_status,sales_all_net_change_oku_yen,sales_contribution_pct_to_all_net_change,sales_contribution_status,sales_gross_positive_change_oku_yen,sales_share_of_gross_positive_pct,sales_positive_share_status,operating_profit_current_oku_yen,operating_profit_previous_oku_yen,operating_profit_yoy_delta_oku_yen,operating_profit_yoy_pct,operating_profit_yoy_status,operating_profit_all_net_change_oku_yen,operating_profit_contribution_pct_to_all_net_change,operating_profit_contribution_status,operating_profit_gross_positive_change_oku_yen,operating_profit_share_of_gross_positive_pct,operating_profit_positive_share_status,ordinary_profit_current_oku_yen,ordinary_profit_previous_oku_yen,ordinary_profit_yoy_delta_oku_yen,ordinary_profit_yoy_pct,ordinary_profit_yoy_status,ordinary_profit_all_net_change_oku_yen,ordinary_profit_contribution_pct_to_all_net_change,ordinary_profit_contribution_status,ordinary_profit_gross_positive_change_oku_yen,ordinary_profit_share_of_gross_positive_pct,ordinary_profit_positive_share_status,operating_margin_current_pct,operating_margin_previous_pct,operating_margin_delta_pp,operating_margin_status,ordinary_margin_current_pct,ordinary_margin_previous_pct,ordinary_margin_delta_pp,ordinary_margin_status,net_non_operating_gap_current_oku_yen,net_non_operating_gap_previous_oku_yen,net_non_operating_gap_yoy_delta_oku_yen
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,4,107,建設業,107,建設業,True,24,1億円以上 - 10億円未満,53213.14,63297.8,-10084.660000000003,-15.932086107258081,CALCULABLE,44303.23999999976,-22.762804706834213,CALCULABLE,132566.41,0.0,NON_POSITIVE_COMPONENT,5555.02,5886.15,-331.1299999999992,-5.625578688956267,CALCULABLE,25970.25,-1.2750358583379027,CALCULABLE,42292.56999999999,0.0,NON_POSITIVE_COMPONENT,5695.3,5783.27,-87.97000000000025,-1.5211117585725797,CALCULABLE,41576.869999999995,-0.21158398888612892,CALCULABLE,55641.34999999999,0.0,NON_POSITIVE_COMPONENT,10.439188516219868,9.299138358679132,1.1400501575407365,CALCULABLE,10.70280761481093,9.136605063683097,1.566202551127832,CALCULABLE,140.27999999999975,-102.8799999999992,243.15999999999894
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,4,107,建設業,107,建設業,True,25,10億円以上,107569.84,103267.98,4301.860000000001,4.165724942039151,CALCULABLE,44303.23999999976,9.710034751408756,CALCULABLE,132566.41,3.245060343717538,CALCULABLE,9828.41,8560.37,1268.039999999999,14.812911124168693,CALCULABLE,25970.25,4.882663817252429,CALCULABLE,42292.56999999999,2.9982571406750624,CALCULABLE,10519.69,8744.08,1775.6100000000006,20.306424460892416,CALCULABLE,41576.869999999995,4.2706678015925705,CALCULABLE,55641.34999999999,3.1911698763599388,CALCULABLE,9.136771050324143,8.289471722018773,0.84729932830537,CALCULABLE,9.779404710465313,8.467368103840126,1.3120366066251865,CALCULABLE,691.2800000000007,183.70999999999913,507.5700000000015
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,5,135,電気業,135,電気業,True,19,1千万円以上 - 1億円未満,3061.41,2251.6,809.81,35.96597974773494,CALCULABLE,44303.23999999976,1.8278798570939832,CALCULABLE,132566.41,0.610871185242174,CALCULABLE,255.46,-54.58,310.04,,NEGATIVE_PROFIT_BASE_NOT_CALCULABLE,25970.25,1.193827552680471,CALCULABLE,42292.56999999999,0.733083849007048,CALCULABLE,198.3,-63.87,262.17,,NEGATIVE_PROFIT_BASE_NOT_CALCULABLE,41576.869999999995,0.6305669474397665,CALCULABLE,55641.34999999999,0.47117835925979523,CALCULABLE,8.344520988694752,-2.4240540060401496,10.768574994734902,CALCULABLE,6.477407469107373,-2.8366494936933733,9.314056962800747,CALCULABLE,-57.16,-9.29,-47.87
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,5,135,電気業,135,電気業,True,24,1億円以上 - 10億円未満,8480.29,10869.9,-2389.6099999999988,-21.983734900965036,CALCULABLE,44303.23999999976,-5.393759011756277,CALCULABLE,132566.41,0.0,NON_POSITIVE_COMPONENT,615.4,791.56,-176.15999999999997,-22.25478801354287,CALCULABLE,25970.25,-0.6783146099864267,CALCULABLE,42292.56999999999,0.0,NON_POSITIVE_COMPONENT,508.11,744.28,-236.16999999999996,-31.731337668619332,CALCULABLE,41576.869999999995,-0.5680321775063876,CALCULABLE,55641.34999999999,0.0,NON_POSITIVE_COMPONENT,7.2568273018965135,7.282127710466517,-0.025300408570003263,CALCULABLE,5.991658304138184,6.847165107314694,-0.8555068031765103,CALCULABLE,-107.28999999999996,-47.27999999999997,-60.00999999999999
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,5,135,電気業,135,電気業,True,25,10億円以上,89504.31,99413.46,-9909.150000000009,-9.967614043410222,CALCULABLE,44303.23999999976,-22.36664857920112,CALCULABLE,132566.41,0.0,NON_POSITIVE_COMPONENT,68.76,1767.55,-1698.79,-96.10986959350514,CALCULABLE,25970.25,-6.5412924403885215,CALCULABLE,42292.56999999999,0.0,NON_POSITIVE_COMPONENT,-860.77,1196.98,-2057.75,-171.9118113920032,CALCULABLE,41576.869999999995,-4.949266262708088,CALCULABLE,55641.34999999999,0.0,NON_POSITIVE_COMPONENT,0.0768231161158608,1.777978555418954,-1.7011554393030932,CALCULABLE,-0.9617078775312609,1.2040421890556872,-2.165750066586948,CALCULABLE,-929.53,-570.5699999999999,-358.96000000000004
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,6,136,ガス・熱供給・水道業,136,ガス・熱供給・水道業,True,19,1千万円以上 - 1億円未満,835.15,804.18,30.970000000000027,3.851127856947456,CALCULABLE,44303.23999999976,0.06990459388523322,CALCULABLE,132566.41,0.023361875757214837,CALCULABLE,81.56,67.21,14.350000000000009,21.350989436095837,CALCULABLE,25970.25,0.05525553277307692,CALCULABLE,42292.56999999999,0.03393030974471405,CALCULABLE,85.47,72.78,12.689999999999998,17.43610882110469,CALCULABLE,41576.869999999995,0.030521778094406815,CALCULABLE,55641.34999999999,0.022806779490432926,CALCULABLE,9.765910315512185,8.35758163595215,1.4083286795600358,CALCULABLE,10.234089684487817,9.050212638961428,1.1838770455263887,CALCULABLE,3.9099999999999966,5.570000000000007,-1.6600000000000108
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,6,136,ガス・熱供給・水道業,136,ガス・熱供給・水道業,True,24,1億円以上 - 10億円未満,3467.31,3819.71,-352.4000000000001,-9.225831280385165,CALCULABLE,44303.23999999976,-0.7954271516033636,CALCULABLE,132566.41,0.0,NON_POSITIVE_COMPONENT,264.79,148.51,116.28000000000003,78.29775772675242,CALCULABLE,25970.25,0.4477430906518036,CALCULABLE,42292.56999999999,0.2749419106003727,CALCULABLE,277.13,153.88,123.25,80.09487912659215,CALCULABLE,41576.869999999995,0.2964388613188054,CALCULABLE,55641.34999999999,0.22150792531094235,CALCULABLE,7.636755871266199,3.8879914967366633,3.7487643745295354,CALCULABLE,7.9926513637373064,4.028578085770909,3.9640732779663974,CALCULABLE,12.339999999999975,5.3700000000000045,6.96999999999997
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,6,136,ガス・熱供給・水道業,136,ガス・熱供給・水道業,True,25,10億円以上,16547.05,17481.77,-934.7200000000012,-5.346827008935595,CALCULABLE,44303.23999999976,-2.109823119031489,CALCULABLE,132566.41,0.0,NON_POSITIVE_COMPONENT,565.86,1019.21,-453.35,-44.480529037195474,CALCULABLE,25970.25,-1.7456512740539658,CALCULABLE,42292.56999999999,0.0,NON_POSITIVE_COMPONENT,570.81,1011.4,-440.59000000000003,-43.5623887680443,CALCULABLE,41576.869999999995,-1.0596997801902839,CALCULABLE,55641.34999999999,0.0,NON_POSITIVE_COMPONENT,3.419703209937723,5.830130473058507,-2.4104272631207837,CALCULABLE,3.449617907723733,5.785455362929497,-2.335837455205764,CALCULABLE,4.949999999999932,-7.810000000000059,12.759999999999991
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,7,142,情報通信業,142,情報通信業,True,19,1千万円以上 - 1億円未満,68438.27,59099.55,9338.720000000001,15.80167700092472,CALCULABLE,44303.23999999976,21.07909037804019,CALCULABLE,132566.41,7.044559779509757,CALCULABLE,965.7,2847.73,-1882.03,-66.08877948401006,CALCULABLE,25970.25,-7.246869013582849,CALCULABLE,42292.56999999999,0.0,NON_POSITIVE_COMPONENT,1243.82,2397.15,-1153.3300000000002,-48.11255032017188,CALCULABLE,41576.869999999995,-2.7739702387409158,CALCULABLE,55641.34999999999,0.0,NON_POSITIVE_COMPONENT,1.4110526171979507,4.8185307671547415,-3.4074781499567908,CALCULABLE,1.8174334330777209,4.05612225473798,-2.2386888216602596,CALCULABLE,278.1199999999999,-450.5799999999999,728.6999999999998
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,7,142,情報通信業,142,情報通信業,True,24,1億円以上 - 10億円未満,77960.2,88787.31,-10827.11,-12.194434091989049,CALCULABLE,44303.23999999976,-24.438641507934992,CALCULABLE,132566.41,0.0,NON_POSITIVE_COMPONENT,8764.28,6472.6,2291.6800000000003,35.40586472205916,CALCULABLE,25970.25,8.824250825463754,CALCULABLE,42292.56999999999,5.418634999008102,CALCULABLE,8911.74,8464.12,447.619999999999,5.288441090154672,CALCULABLE,41576.869999999995,1.0766082199068834,CALCULABLE,55641.34999999999,0.8044736513402336,CALCULABLE,11.241992709100286,7.290005745190389,3.9519869639098966,CALCULABLE,11.431140505026924,9.533028988038945,1.8981115169879796,CALCULABLE,147.45999999999913,1991.5200000000004,-1844.0600000000013
