release_id,period_code,period,period_end,coverage_scope,source_table_number,estat_sid,taxonomy,industry_code,industry_name,parent_major_code,parent_major_name,capital_size_code,capital_size_name,sales_previous_oku_yen,sales_current_oku_yen,operating_profit_previous_oku_yen,operating_profit_current_oku_yen,operating_profit_yoy_delta_oku_yen,operating_margin_previous_pct,operating_margin_current_pct,sales_change_identity_effect_oku_yen,margin_change_identity_effect_oku_yen,interaction_identity_effect_oku_yen,shapley_sales_effect_oku_yen,shapley_margin_effect_oku_yen,shapley_reconstructed_delta_oku_yen,bridge_residual_oku_yen,bridge_status,shapley_order_count
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,114,印刷・同関連業,108,製造業,19,1千万円以上 - 1億円未満,7767.4,10129.46,485.16,496.42,11.259999999999991,6.2461055179339295,4.900754827996755,147.53675999691015,-104.49876949018011,-31.777990506730024,131.64776474354514,-120.38776474354512,11.26000000000002,-2.842170943040401e-14,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,114,印刷・同関連業,108,製造業,24,1億円以上 - 10億円未満,4885.08,5883.55,109.41,252.02,142.61,2.2396767299614333,4.2834683141980605,22.36250024564593,99.84085392322662,20.406645831127456,32.56582316120966,110.04417683879035,142.61,0.0,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,114,印刷・同関連業,108,製造業,25,10億円以上,6125.75,3316.11,62.96,1.88,-61.08,1.02779251520222,0.0566929323816158,-28.877269624127653,-59.48713269463316,27.284402318760822,-15.235068464747242,-45.84493153525275,-61.07999999999999,-7.105427357601002e-15,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,115,化学工業,108,製造業,19,1千万円以上 - 1億円未満,14868.16,17228.69,278.32,330.11,51.79000000000002,1.8719195919333662,1.9160481731344639,44.18722354346467,6.561108058709104,1.0416683978262673,44.708057742377804,7.081942257622238,51.79000000000004,-2.1316282072803006e-14,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,115,化学工業,108,製造業,24,1億円以上 - 10億円未満,20929.44,23045.87,1289.51,892.33,-397.17999999999995,6.161225527295523,3.871973590061907,130.39802542734066,-479.1276106521472,-48.450414775193416,106.17281803974394,-503.3528180397439,-397.17999999999995,0.0,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,115,化学工業,108,製造業,25,10億円以上,81999.79,79647.54,8625.81,8425.15,-200.65999999999985,10.519307427494631,10.578041707251725,-247.44040896324248,48.16198605882881,-1.3815770955862214,-248.1311975110356,47.4711975110357,-200.6599999999999,5.684341886080802e-14,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,116,石油製品・石炭製品製造業,108,製造業,19,1千万円以上 - 1億円未満,899.75,1022.95,43.94,141.57,97.63,4.883578771881078,13.839386089251674,6.01656904695749,80.57987633804193,11.033554615000577,11.533346354457779,86.09665364554222,97.63,0.0,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,116,石油製品・石炭製品製造業,108,製造業,24,1億円以上 - 10億円未満,11427.49,13847.06,185.08,1387.56,1202.48,1.6196032549580006,10.020610873355066,39.18743447598729,960.0243054915627,203.26826003244983,140.8215644922122,1061.6584355077875,1202.4799999999998,2.2737367544323206e-13,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,116,石油製品・石炭製品製造業,108,製造業,25,10億円以上,21312.41,19847.07,-6.29,1466.2,1472.49,-0.02951332111197185,7.387488430282153,0.4324704995821683,1580.7418229642967,-108.68429346387869,-53.90967623235718,1526.3996762323575,1472.4900000000002,-2.2737367544323206e-13,CALCULABLE,2
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,117,窯業・土石製品製造業,108,製造業,19,1千万円以上 - 1億円未満,8658.76,6916.28,382.19,520.36,138.17000000000002,4.413911460763434,7.523697710329831,-76.91152442151072,269.2689278629553,-54.18740344144456,-104.005226142233,242.17522614223304,138.17000000000004,-2.842170943040401e-14,CALCULABLE,2
