release_id,period_code,period,period_end,coverage_scope,source_table_number,estat_sid,taxonomy,capital_size_code,capital_size_name,industry_cell_count,sales_previous_oku_yen,sales_current_oku_yen,operating_profit_previous_oku_yen,operating_profit_current_oku_yen,operating_profit_yoy_delta_oku_yen,aggregate_sales_scale_effect_oku_yen,industry_composition_effect_oku_yen,within_industry_margin_effect_oku_yen,shapley_reconstructed_delta_oku_yen,bridge_residual_oku_yen,bridge_status,shapley_order_count
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,19,1千万円以上 - 1億円未満,45,1444228.83,1474569.93,84061.13,82472.22,-1588.9099999999974,1735.9020033259221,-1688.035013010718,-1636.7769903152075,-1588.9100000000035,6.139089236967266e-12,CALCULABLE,6
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,24,1億円以上 - 10億円未満,45,952162.4,938212.4600000001,46202.56999999999,54046.32,7843.750000000002,-742.1932202870921,-1255.5909144480393,9841.534134735124,7843.749999999993,9.094947017729282e-12,CALCULABLE,6
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,1,0003060191,leaf,25,10億円以上,45,1645919.5799999998,1673831.66,106600.40999999999,126315.81999999999,19715.41,1952.611089644939,3557.8929391593265,14204.905971195723,19715.40999999999,1.0913936421275139e-11,CALCULABLE,6
