coverage_scope,source_table_number,release_id,period_code,period,period_end,estat_sid,taxonomy,taxonomy_order,industry_code,industry_name,parent_major_code,parent_major_name,is_mutually_exclusive,capital_size_code,capital_size_name,metric_id,raw_value_oku_yen,raw_lag4_value_oku_yen,raw_yoy_delta_oku_yen,raw_yoy_pct,raw_yoy_status,all_industry_yoy_delta_oku_yen,contribution_pct_to_all_net_change,contribution_status,gross_positive_yoy_delta_oku_yen,share_of_gross_positive_pct,positive_share_status
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,6,136,ガス・熱供給・水道業,136,ガス・熱供給・水道業,True,26,全規模,capex_including_software,1516.25,1510.78,5.470000000000027,0.36206462886720914,CALCULABLE,88.77999999999884,6.161297589547307,CALCULABLE,4079.8100000000013,0.1340748711337054,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,7,142,情報通信業,142,情報通信業,True,26,全規模,capex_including_software,18295.9,17220.87,1075.0300000000025,6.242599822192507,CALCULABLE,88.77999999999884,1210.8920928137154,CALCULABLE,4079.8100000000013,26.350001593211502,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,8,134,運輸業、郵便業(集約),134,運輸業、郵便業(集約),True,26,全規模,capex_including_software,24868.6,24761.78,106.81999999999971,0.4313906350835728,CALCULABLE,88.77999999999884,120.31989186753897,CALCULABLE,4079.8100000000013,2.6182591836384455,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,9,129,卸売業・小売業(集約),129,卸売業・小売業(集約),True,26,全規模,capex_including_software,21340.72,20892.74,447.97999999999956,2.1441897999017856,CALCULABLE,88.77999999999884,504.59562964632283,CALCULABLE,4079.8100000000013,10.98041330356069,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,10,155,不動産業、物品賃貸業(集約),155,不動産業、物品賃貸業(集約),True,26,全規模,capex_including_software,20721.52,23640.0,-2918.4799999999996,-12.34551607445008,CALCULABLE,88.77999999999884,-3287.3169632800605,CALCULABLE,4079.8100000000013,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,11,137,サービス業(集約),137,サービス業(集約),True,26,全規模,capex_including_software,16616.39,17268.16,-651.7700000000004,-3.7744032948501816,CALCULABLE,88.77999999999884,-734.1405722009563,CALCULABLE,4079.8100000000013,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,1,108,製造業,108,製造業,True,26,全規模,operating_profit,88629.4,60876.83,27752.569999999992,45.588066921355775,CALCULABLE,25970.25,106.86292969840487,CALCULABLE,34810.5,79.72470949857082,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,2,105,農林水産業(集約),105,農林水産業(集約),True,26,全規模,operating_profit,297.97,-125.41,423.38,,NEGATIVE_PROFIT_BASE_NOT_CALCULABLE,25970.25,1.6302499975934002,CALCULABLE,34810.5,1.2162422257652146,CALCULABLE
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,3,106,鉱業、採石業、砂利採取業,106,鉱業、採石業、砂利採取業,True,26,全規模,operating_profit,950.42,1918.17,-967.7500000000001,-50.4517326410068,CALCULABLE,25970.25,-3.7263792223794536,CALCULABLE,34810.5,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,4,107,建設業,107,建設業,True,26,全規模,operating_profit,37579.29,40905.71,-3326.4199999999983,-8.13192094697781,CALCULABLE,25970.25,-12.808579047178977,CALCULABLE,34810.5,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,5,135,電気業,135,電気業,True,26,全規模,operating_profit,939.62,2504.53,-1564.9100000000003,-62.48318047697572,CALCULABLE,25970.25,-6.0257794976944785,CALCULABLE,34810.5,0.0,NON_POSITIVE_COMPONENT
EXCL_FINANCE_INSURANCE,1,2026Q1,20261,2026年1 - 3 月,2026-03-31,0003060191,major,6,136,ガス・熱供給・水道業,136,ガス・熱供給・水道業,True,26,全規模,operating_profit,912.21,1234.93,-322.72,-26.1326552922028,CALCULABLE,25970.25,-1.2426526506290854,CALCULABLE,34810.5,0.0,NON_POSITIVE_COMPONENT
