period_code,concentration_dimension,taxonomy,component_id,component_label_ja,member_code,member_name,profit_impact_yoy_oku_yen,signed_share_of_net_pct,positive_share_pct,absolute_share_pct,rank_desc,top1_positive_concentration_pct,top3_positive_concentration_pct,top5_positive_concentration_pct,denominator_status,continuing_sample_size_limitation,profit_standard_error_limitation,continuing_margin_interpretation
20261,INDUSTRY,major,ALL_COMPONENTS,営業利益外差額の四項目,129,卸売業・小売業(集約),3132.3700000000003,20.070777657173686,17.68680326207312,15.809032088746228,2.0,62.28474987027255,86.83335770722084,95.69897816005567,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,major,ALL_COMPONENTS,営業利益外差額の四項目,134,運輸業、郵便業(集約),12.370000000000118,0.07926123657781195,0.0698467155386645,0.06243123479595089,9.0,62.28474987027255,86.83335770722084,95.69897816005567,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,major,ALL_COMPONENTS,営業利益外差額の四項目,135,電気業,-466.84000000000003,-2.9912947198048006,0.0,2.3561356226468417,10.0,62.28474987027255,86.83335770722084,95.69897816005567,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,major,ALL_COMPONENTS,営業利益外差額の四項目,136,ガス・熱供給・水道業,18.07000000000005,0.11578419926928474,0.10203153999867899,0.09119906327912893,8.0,62.28474987027255,86.83335770722084,95.69897816005567,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,major,ALL_COMPONENTS,営業利益外差額の四項目,137,サービス業(集約),1215.2400000000007,7.786695645822096,6.861804574875174,6.133301032613636,3.0,62.28474987027255,86.83335770722084,95.69897816005567,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,major,ALL_COMPONENTS,営業利益外差額の四項目,142,情報通信業,-1636.750000000001,-10.487536699169972,0.0,8.260656714007412,11.0,62.28474987027255,86.83335770722084,95.69897816005567,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,major,ALL_COMPONENTS,営業利益外差額の四項目,155,不動産業、物品賃貸業(集約),638.8100000000004,4.0931989117438645,3.6070153882986156,3.2240660549717886,6.0,62.28474987027255,86.83335770722084,95.69897816005567,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,101,農業、林業,100.69000000000001,0.6451749321762176,0.42049250534437665,0.31188012701936885,22.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,103,漁業,-8.220000000000006,-0.05266995672349302,0.0,0.025460866462401567,30.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,106,鉱業、採石業、砂利採取業,756.5799999999999,4.847814581248213,3.1595612244855347,2.3434528404043506,11.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,107,建設業,813.5400000000001,5.212787906670375,3.397432444114254,2.5198823968153476,8.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,109,食料品製造業,-397.85000000000014,-2.5492387204916893,0.0,1.2323121316382553,40.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,110,繊維工業,328.98,2.107951625656292,1.373856633312077,1.0189921957178665,16.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,112,木材・木製品製造業,142.85,0.9153167053468334,0.5965572985246221,0.4424677340820026,20.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,113,パルプ・紙・紙加工品製造業,78.90000000000005,0.5055546940977613,0.32949507072868545,0.2443871488909347,25.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,114,印刷・同関連業,118.92999999999995,0.7620484127889315,0.4966647498322246,0.3683772321622159,21.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,115,化学工業,2814.71,18.035359353915197,11.754538283025825,8.718364408806115,4.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,116,石油製品・石炭製品製造業,-29.409999999999997,-0.18844567241337326,0.0,0.0910953871848211,33.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,117,窯業・土石製品製造業,401.37,2.571793251838002,1.6761652286232245,1.2432150817535415,13.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,118,鉄鋼業,398.98000000000013,2.5564792376568413,1.6661843259737754,1.2358122264195832,14.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,119,非鉄金属製造業,775.5600000000001,4.969429639473506,3.238823790295807,2.4022420430146165,10.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
20261,INDUSTRY,leaf,ALL_COMPONENTS,営業利益外差額の四項目,120,金属製品製造業,-13.299999999999898,-0.08522024628010355,0.0,0.04119580583332579,32.0,16.92046974554545,41.683130979928364,63.57166810116043,CALCULABLE,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
