year,pref,計,針葉樹_計,針葉樹_あかまつ・くろまつ,針葉樹_すぎ,針葉樹_ひのき,針葉樹_もみ・つが,針葉樹_からまつ,針葉樹_えぞまつ・とどまつ,針葉樹_その他,広葉樹_計,広葉樹_なら,広葉樹_ぶな,広葉樹_その他
1961,北海道,9207.0,4865.0,5.0,40.0,1.0,8.0,,4727.0,84.0,4342.0,629.0,325.0,3388.0
1961,千葉県,438.0,422.0,220.0,168.0,27.0,4.0,,1.0,2.0,16.0,0.0,,16.0
1961,和歌山県,922.0,856.0,171.0,394.0,226.0,60.0,,0.0,5.0,66.0,1.0,2.0,63.0
1961,埼玉県,337.0,283.0,24.0,152.0,55.0,43.0,,3.0,6.0,54.0,2.0,13.0,39.0
1961,大分県,1064.0,892.0,294.0,475.0,100.0,20.0,,0.0,3.0,172.0,4.0,3.0,165.0
1961,大阪府,110.0,105.0,60.0,28.0,15.0,2.0,,,0.0,5.0,0.0,0.0,5.0
1961,奈良県,1096.0,1025.0,169.0,519.0,282.0,48.0,,0.0,7.0,71.0,3.0,8.0,60.0
1961,宮城県,692.0,551.0,176.0,330.0,31.0,7.0,,3.0,4.0,141.0,4.0,35.0,102.0
1961,宮崎県,1571.0,968.0,283.0,486.0,88.0,103.0,,2.0,6.0,603.0,18.0,7.0,578.0
1961,富山県,232.0,160.0,35.0,114.0,2.0,3.0,,1.0,5.0,72.0,4.0,31.0,37.0
1961,山口県,1144.0,886.0,624.0,180.0,79.0,2.0,,0.0,1.0,258.0,3.0,1.0,254.0
1961,山形県,600.0,395.0,79.0,292.0,6.0,0.0,,12.0,6.0,205.0,9.0,142.0,54.0
1961,山梨県,689.0,536.0,175.0,80.0,68.0,148.0,,46.0,19.0,153.0,9.0,15.0,129.0
1961,岐阜県,1591.0,1054.0,306.0,270.0,288.0,91.0,,10.0,89.0,537.0,53.0,159.0,325.0
1961,岡山県,712.0,615.0,362.0,141.0,110.0,2.0,,0.0,0.0,97.0,8.0,25.0,64.0
1961,岩手県,1680.0,997.0,501.0,412.0,22.0,1.0,,49.0,12.0,683.0,85.0,157.0,441.0
1961,島根県,995.0,596.0,403.0,147.0,39.0,3.0,,2.0,1.0,400.0,20.0,78.0,302.0
1961,広島県,1636.0,1350.0,993.0,239.0,105.0,11.0,,1.0,1.0,286.0,10.0,41.0,235.0
1961,徳島県,643.0,525.0,108.0,328.0,65.0,21.0,,0.0,3.0,118.0,4.0,14.0,100.0
1961,愛媛県,1214.0,1027.0,449.0,344.0,195.0,29.0,,2.0,8.0,187.0,6.0,11.0,170.0
1961,愛知県,799.0,769.0,185.0,337.0,220.0,20.0,,2.0,5.0,30.0,1.0,3.0,26.0
1961,新潟県,823.0,702.0,182.0,507.0,5.0,0.0,,6.0,2.0,121.0,6.0,49.0,66.0
1961,東京都,167.0,147.0,15.0,91.0,32.0,8.0,,1.0,0.0,20.0,1.0,2.0,17.0
1961,栃木県,765.0,663.0,100.0,382.0,114.0,40.0,,11.0,16.0,102.0,13.0,37.0,52.0
1961,沖縄県,,,,,,,,,,,,,
1961,滋賀県,378.0,351.0,161.0,136.0,51.0,3.0,,0.0,0.0,27.0,2.0,4.0,21.0
1961,熊本県,1458.0,1087.0,295.0,507.0,230.0,39.0,,0.0,16.0,371.0,6.0,8.0,357.0
1961,石川県,495.0,476.0,155.0,246.0,13.0,7.0,,1.0,54.0,19.0,0.0,6.0,13.0
1961,神奈川県,154.0,142.0,41.0,68.0,26.0,6.0,,0.0,1.0,12.0,0.0,1.0,11.0
1961,福井県,384.0,298.0,98.0,180.0,17.0,1.0,,1.0,1.0,86.0,5.0,31.0,50.0
1961,福岡県,786.0,627.0,209.0,311.0,102.0,3.0,,,2.0,159.0,2.0,0.0,157.0
1961,福島県,1334.0,918.0,304.0,485.0,63.0,28.0,,22.0,16.0,416.0,31.0,161.0,224.0
1961,秋田県,1834.0,1406.0,110.0,1240.0,8.0,1.0,,14.0,33.0,428.0,17.0,306.0,105.0
